Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
11,Mo Adams\Mo-Adams,eng ENG,DFMF,Atlanta,22,1996,4,1,93,1.0,1,0,1,0,0,1,0,0.97,0.00,0.97,0.97,0.97,0.1,0.1,0.1,0.3,0.13,0.12,0.25,0.13,0.25,Matches
12,Mo Adams\Mo-Adams,eng ENG,MF,Chicago,22,1996,10,5,487,5.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.01,0.08,0.09,0.01,0.09,Matches
13,Fanendo Adi\Fanendo-Adi,ng NGA,FW,FC Cincinnati,28,1990,12,7,700,7.8,1,0,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,3.0,3.0,0.1,3.0,0.38,0.01,0.39,0.38,0.39,Matches
14,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DF,Vancouver,25,1993,28,28,2410,26.8,1,3,1,0,1,6,0,0.04,0.11,0.15,0.04,0.15,2.4,1.7,1.9,3.6,0.09,0.07,0.16,0.06,0.14,Matches
15,François Affolter\Francois-Affolter,ch SUI,DF,San Jose,27,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
16,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus,32,1986,22,22,1903,21.1,0,2,0,0,0,3,1,0.00,0.09,0.09,0.00,0.09,0.7,0.7,1.5,2.2,0.03,0.07,0.11,0.03,0.11,Matches
17,Juan Agudelo\Juan-Agudelo,us USA,MFFW,New England,26,1992,28,21,1954,21.7,3,1,3,0,0,7,0,0.14,0.05,0.18,0.14,0.18,4.2,3.6,2.3,5.9,0.19,0.10,0.30,0.17,0.27,Matches
18,Tesho Akindele\Tesho-Akindele,ca CAN,FW,Orlando City,26,1992,28,22,1875,20.8,10,1,10,0,0,1,0,0.48,0.05,0.53,0.48,0.53,8.9,8.9,1.7,10.6,0.43,0.08,0.51,0.43,0.51,Matches
19,Ayo Akinola\Ayo-Akinola,us USA,FWMF,Toronto FC,19,2000,8,2,257,2.9,1,0,1,0,0,1,0,0.35,0.00,0.35,0.35,0.35,1.4,1.4,0.1,1.5,0.47,0.03,0.51,0.47,0.51,Matches
20,Fatai Alashe\Fatai-Alashe,us USA,MFDF,FC Cincinnati,25,1993,11,4,438,4.9,1,0,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,0.5,0.5,0.0,0.5,0.10,0.00,0.10,0.10,0.10,Matches
21,Nazmi Albadawi\Nazmi-Albadawi,ps PLE,MF,FC Cincinnati,27,1991,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
22,Romain Alessandrini\Romain-Alessandrini,fr FRA,FW,LA Galaxy,29,1989,5,5,277,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.9,0.17,0.10,0.28,0.17,0.28,Matches
23,Eric Alexander\Eric-Alexander,us USA,MFFW,FC Cincinnati,30,1988,6,4,313,3.5,0,1,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,0.0,0.0,0.3,0.3,0.00,0.08,0.08,0.00,0.08,Matches
24,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Minnesota,33,1985,27,27,2365,26.3,2,0,2,0,0,4,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.8,1.3,0.02,0.03,0.05,0.02,0.05,Matches
25,Jozy Altidore\Jozy-Altidore,us USA,FW,Toronto FC,29,1989,22,18,1688,18.8,11,5,11,0,0,4,0,0.59,0.27,0.85,0.59,0.85,8.9,8.9,2.8,11.7,0.47,0.15,0.62,0.47,0.62,Matches
26,Efrain Alvarez\Efrain-Alvarez,mx MEX,MFFW,LA Galaxy,16,2002,14,4,523,5.8,0,3,0,0,0,2,1,0.00,0.52,0.52,0.00,0.52,0.5,0.5,1.0,1.5,0.09,0.17,0.26,0.09,0.26,Matches
27,Fabio Álvarez\Fabio-Alvarez,ar ARG,MFFW,LA Galaxy,26,1993,18,16,1260,14.0,3,4,3,0,0,5,0,0.21,0.29,0.50,0.21,0.50,2.6,2.6,2.1,4.7,0.19,0.15,0.34,0.19,0.34,Matches
28,Quincy Amarikwa\Quincy-Amarikwa,us USA,FW,D.C. United,31,1987,23,3,429,4.8,1,0,1,0,0,3,0,0.21,0.00,0.21,0.21,0.21,1.3,1.3,0.5,1.8,0.27,0.11,0.38,0.27,0.38,Matches
29,Frankie Amaya\Frankie-Amaya,us USA,MF,FC Cincinnati,18,2000,19,15,1238,13.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.5,2.1,0.05,0.11,0.15,0.05,0.15,Matches
30,Mikey Ambrose\Mikey-Ambrose,us USA,DF,Atlanta,25,1993,4,3,266,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03,Matches
31,Michael Amir Murillo\Michael-Amir-Murillo,pa PAN,DF,NY Red Bulls,22,1996,22,18,1696,18.8,1,3,1,0,0,6,1,0.05,0.16,0.21,0.05,0.21,0.4,0.4,1.9,2.4,0.02,0.10,0.13,0.02,0.13,Matches
32,Sebastian Anderson\Sebastian-Anderson,us USA,DFFW,Colorado,16,2002,6,5,314,3.5,1,0,1,0,0,1,1,0.29,0.00,0.29,0.29,0.29,0.0,0.0,0.1,0.2,0.01,0.04,0.04,0.01,0.04,Matches
33,Jalil Anibaba\Jalil-Anibaba,us USA,DF,New England,30,1988,22,19,1764,19.6,1,0,1,0,0,4,1,0.05,0.00,0.05,0.05,0.05,0.4,0.4,0.2,0.6,0.02,0.01,0.03,0.02,0.03,Matches
34,Uriel Antuna\Uriel-Antuna,mx MEX,FWMF,LA Galaxy,21,1997,31,29,2413,26.8,6,5,6,0,0,1,0,0.22,0.19,0.41,0.22,0.41,8.8,8.8,4.3,13.2,0.33,0.16,0.49,0.33,0.49,Matches
35,Pablo Aránguiz\Pablo-Aranguiz,cl CHI,MFFW,FC Dallas,21,1997,11,7,561,6.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.3,1.5,0.18,0.05,0.23,0.18,0.23,Matches
36,Julian Araujo\Julian-Araujo,us USA,DFFW,LA Galaxy,17,2001,18,10,895,9.9,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,0.5,1.1,0.06,0.05,0.11,0.06,0.11,Matches
37,Joaquín Ardaiz\Joaquin-Ardaiz,uy URU,FW,Vancouver,20,1999,16,3,415,4.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.1,1.7,0.36,0.01,0.38,0.36,0.38,Matches
38,Luis Argudo\Luis-Argudo,us USA,FWMF,Columbus,23,1995,21,10,1065,11.8,1,3,1,0,0,1,0,0.08,0.25,0.34,0.08,0.34,1.8,1.8,1.3,3.1,0.15,0.11,0.26,0.15,0.26,Matches
39,Xavier Arreaga\Xavier-Arreaga,ec ECU,DF,Seattle,24,1994,14,12,1119,12.4,0,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches
40,Luis Arriaga\Luis-Arriaga,us USA,DFMF,Real Salt Lake,18,2001,2,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
41,Paul Arriola\Paul-Arriola,us USA,FWMF,D.C. United,23,1995,29,28,2425,26.9,6,2,6,0,0,6,1,0.22,0.07,0.30,0.22,0.30,5.9,5.9,3.4,9.3,0.22,0.13,0.34,0.22,0.34,Matches
42,Artur\Artur,br BRA,MF,Columbus,22,1996,30,28,2450,27.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.02,0.02,0.03,0.02,0.03,Matches
43,Carlos Ascues\Carlos-Ascues,pe PER,MFDF,Orlando City,26,1992,17,14,1111,12.3,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,1.3,1.3,0.9,2.3,0.11,0.07,0.18,0.11,0.18,Matches
44,Dairon Asprilla\Dairon-Asprilla,co COL,FWMF,Portland,26,1992,13,7,564,6.3,2,0,1,1,1,1,1,0.32,0.00,0.32,0.16,0.16,3.3,2.6,0.5,3.1,0.53,0.08,0.61,0.41,0.49,Matches
45,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,30,1988,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
46,Francis Atuahene\Francis-Atuahene,gh GHA,FW,FC Dallas,22,1996,1,0,27,0.3,1,0,1,0,0,0,0,3.33,0.00,3.33,3.33,3.33,0.1,0.1,0.0,0.1,0.30,0.00,0.30,0.30,0.30,Matches
47,Eduard Atuesta\Eduard-Atuesta,co COL,MF,Los Angeles FC,21,1997,30,30,2631,29.2,3,8,3,0,0,8,0,0.10,0.27,0.38,0.10,0.38,2.6,2.6,4.7,7.3,0.09,0.16,0.25,0.09,0.25,Matches
48,Auro\Auro,br BRA,DF,Toronto FC,23,1996,23,22,1883,20.9,0,3,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,3.0,3.3,0.01,0.15,0.16,0.01,0.16,Matches
49,Micheal Azira\Micheal-Azira,ug UGA,MF,Chicago,31,1987,4,2,218,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.12,0.05,0.17,0.12,0.17,Matches
50,Micheal Azira\Micheal-Azira,ug UGA,MF,Montreal,31,1987,19,16,1444,16.0,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.6,0.6,0.7,1.3,0.04,0.04,0.08,0.04,0.08,Matches
51,Dominique Badji\Dominique-Badji,sn SEN,FW,FC Dallas,26,1992,28,24,2029,22.5,6,3,6,0,0,6,0,0.27,0.13,0.40,0.27,0.40,7.6,7.6,2.2,9.8,0.34,0.10,0.43,0.34,0.43,Matches
52,Theo Bair\Theo-Bair,ca CAN,FWMF,Vancouver,19,1999,17,10,822,9.1,2,2,2,0,0,1,0,0.22,0.22,0.44,0.22,0.44,1.8,1.8,0.7,2.5,0.20,0.07,0.27,0.20,0.27,Matches
53,Corey Baird\Corey-Baird,us USA,FWMF,Real Salt Lake,23,1996,31,23,2098,23.3,5,3,5,0,0,6,0,0.21,0.13,0.34,0.21,0.34,3.5,3.5,1.9,5.4,0.15,0.08,0.23,0.15,0.23,Matches
54,Lass Bangoura\Lass-Bangoura,gn GUI,FW,Vancouver,26,1992,17,7,634,7.0,1,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,0.3,0.3,0.8,1.0,0.04,0.11,0.15,0.04,0.15,Matches
55,Botond Baráth\Botond-Barath,hu HUN,DF,Sporting KC,26,1992,21,20,1748,19.4,1,0,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,1.1,1.1,0.4,1.5,0.06,0.02,0.08,0.06,0.08,Matches
56,Ezequiel Barco\Ezequiel-Barco,ar ARG,FWMF,Atlanta,19,1999,15,11,975,10.8,4,2,4,0,0,1,0,0.37,0.18,0.55,0.37,0.55,3.2,3.2,2.5,5.8,0.30,0.23,0.53,0.30,0.53,Matches
57,Tom Barlow\Tom-Barlow,us USA,FW,NY Red Bulls,23,1995,12,8,602,6.7,3,0,3,0,0,0,0,0.45,0.00,0.45,0.45,0.45,3.2,3.2,0.4,3.6,0.49,0.06,0.54,0.49,0.54,Matches
58,Michael Barrios\Michael-Barrios,co COL,FW,FC Dallas,27,1991,32,31,2724,30.3,5,13,5,0,0,6,0,0.17,0.43,0.59,0.17,0.59,5.3,5.3,10.8,16.1,0.17,0.36,0.53,0.17,0.53,Matches
59,Cole Bassett\Cole-Bassett,us USA,MF,Colorado,17,2001,20,14,1059,11.8,2,1,2,0,0,1,0,0.17,0.08,0.25,0.17,0.25,1.9,1.9,0.9,2.8,0.16,0.07,0.23,0.16,0.23,Matches
60,Clement Bayiha\Clement-Bayiha,ca CAN,FWMF,Montreal,19,1999,11,4,473,5.3,0,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,0.2,0.2,0.5,0.7,0.03,0.10,0.13,0.03,0.13,Matches
61,DaMarcus Beasley\DaMarcus-Beasley,us USA,DF,Houston,36,1982,12,12,1030,11.4,0,2,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.1,0.1,0.8,0.9,0.01,0.07,0.08,0.01,0.08,Matches
62,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Real Salt Lake,36,1982,25,24,2127,23.6,0,4,0,0,0,9,0,0.00,0.17,0.17,0.00,0.17,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,Matches
63,Alejandro Bedoya\Alejandro-Bedoya,us USA,MF,Philadelphia,31,1987,32,32,2833,31.5,4,3,4,0,0,6,0,0.13,0.10,0.22,0.13,0.22,2.1,2.1,3.1,5.2,0.07,0.10,0.17,0.07,0.17,Matches
64,Dan Bedoya\Dan-Bedoya,co COL,FW,NYCFC,24,1994,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
65,Steven Beitashour\Steven-Beitashour,ir IRN,DF,Los Angeles FC,31,1987,25,24,1875,20.8,1,2,1,0,0,3,0,0.05,0.10,0.14,0.05,0.14,1.1,1.1,1.6,2.8,0.05,0.08,0.13,0.05,0.13,Matches
66,Joe Bendik\Joe-Bendik,us USA,GK,Columbus,29,1989,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
67,Nicolas Benezet\Nicolas-Benezet,fr FRA,FWMF,Toronto FC,27,1991,8,5,438,4.9,2,0,2,0,0,2,0,0.41,0.00,0.41,0.41,0.41,2.2,2.2,0.2,2.4,0.45,0.04,0.50,0.45,0.50,Matches
68,Leonardo Bertone\Leonardo-Bertone,ch SUI,MF,FC Cincinnati,24,1994,25,22,2056,22.8,1,1,1,0,0,9,0,0.04,0.04,0.09,0.04,0.09,0.9,0.9,1.5,2.5,0.04,0.07,0.11,0.04,0.11,Matches
69,Matt Besler\Matt-Besler,us USA,DF,Sporting KC,31,1987,27,25,2112,23.5,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.00,0.02,0.02,0.00,0.02,Matches
70,Nick Besler\Nick-Besler,us USA,MF,Real Salt Lake,25,1993,17,7,734,8.2,1,1,1,0,0,4,0,0.12,0.12,0.25,0.12,0.25,0.9,0.9,0.7,1.6,0.11,0.08,0.19,0.11,0.19,Matches
71,Vincent Bezecourt\Vincent-Bezecourt,fr FRA,MF,NY Red Bulls,25,1993,8,7,449,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.7,0.07,0.07,0.13,0.07,0.13,Matches
72,David Bingham\David-Bingham,us USA,GK,LA Galaxy,29,1989,33,33,2970,33.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
73,Steve Birnbaum\Steve-Birnbaum,us USA,DF,D.C. United,28,1991,34,34,3031,33.7,1,0,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,2.0,2.0,0.5,2.5,0.06,0.01,0.07,0.06,0.07,Matches
74,José Bizama\Jose-Bizama,cl CHI,DF,Houston,24,1994,5,4,354,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches
75,Tristan Blackmon\Tristan-Blackmon,us USA,DF,Los Angeles FC,22,1996,18,15,1378,15.3,1,4,1,0,0,3,0,0.07,0.26,0.33,0.07,0.33,0.7,0.7,1.7,2.4,0.05,0.11,0.16,0.05,0.16,Matches
76,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,28,1990,26,26,2303,25.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
77,Sebastián Blanco\Sebastian-Blanco,ar ARG,FWMF,Portland,30,1988,30,28,2507,27.9,6,10,6,0,0,8,0,0.22,0.36,0.57,0.22,0.57,6.5,6.5,9.6,16.1,0.23,0.34,0.58,0.23,0.58,Matches
78,Latif Blessing\Latif-Blessing,gh GHA,MF,Los Angeles FC,22,1996,34,29,2691,29.9,6,3,6,0,0,7,0,0.20,0.10,0.30,0.20,0.30,6.1,6.1,5.9,12.0,0.20,0.20,0.40,0.20,0.40,Matches
79,Johan Blomberg\Johan-Blomberg,se SWE,MFFW,Colorado,31,1987,3,1,88,1.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches
80,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FWMF,D.C. United,25,1994,3,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.06,0.06,0.00,0.06,Matches
81,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,FWMF,LA Galaxy,25,1994,21,7,887,9.9,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,1.8,1.8,1.8,3.6,0.18,0.19,0.36,0.18,0.36,Matches
82,Corben Bone\Corben-Bone,us USA,MFFW,FC Cincinnati,30,1988,6,2,187,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.24,0.24,0.00,0.24,Matches
83,Alex Bono\Alex-Bono,us USA,GK,Toronto FC,24,1994,7,6,556,6.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
84,Jonathan Bornstein\Jonathan-Bornstein,us USA,DF,Chicago,34,1984,11,11,911,10.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.01,0.02,0.02,0.01,0.02,Matches
85,Gustavo Bou\Gustavo-Bou,ar ARG,FWMF,New England,28,1990,14,13,1152,12.8,9,1,9,0,0,1,0,0.70,0.08,0.78,0.70,0.78,4.1,4.1,1.2,5.3,0.32,0.09,0.41,0.32,0.41,Matches
86,Michael Boxall\Michael-Boxall,nz NZL,DF,Minnesota,30,1988,29,29,2576,28.6,2,0,2,0,0,3,0,0.07,0.00,0.07,0.07,0.07,1.2,1.2,0.4,1.6,0.04,0.02,0.06,0.04,0.06,Matches
87,Terrence Boyd\Terrence-Boyd,us USA,FWMF,Toronto FC,27,1991,11,3,345,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.10,0.00,0.10,0.10,0.10,Matches
88,Michael Bradley\Michael-Bradley,us USA,MF,Toronto FC,31,1987,27,26,2373,26.4,3,1,3,0,0,4,0,0.11,0.04,0.15,0.11,0.15,2.3,2.3,1.2,3.5,0.09,0.04,0.13,0.09,0.13,Matches
89,Zachary Brault-Guillard\Zachary-Brault-Guillard,ca CAN,DF,Montreal,20,1998,13,9,874,9.7,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.6,0.6,1.5,2.1,0.06,0.15,0.21,0.06,0.21,Matches
90,Bressan\Bressan,br BRA,DF,FC Dallas,26,1993,18,12,1120,12.4,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,0.3,0.3,0.5,0.8,0.03,0.04,0.07,0.03,0.07,Matches
91,Shaft Brewer\Shaft-Brewer,us USA,DF,Los Angeles FC,19,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
92,Frédéric Brillant\Frederic-Brillant,fr FRA,DF,D.C. United,33,1985,34,33,2959,32.9,2,1,2,0,0,5,0,0.06,0.03,0.09,0.06,0.09,2.9,2.9,0.6,3.5,0.09,0.02,0.11,0.09,0.11,Matches
93,Brandt Bronico\Brandt-Bronico,us USA,MFDF,Chicago,23,1995,29,20,1866,20.7,1,2,1,0,0,2,0,0.05,0.10,0.14,0.05,0.14,0.6,0.6,1.9,2.6,0.03,0.09,0.12,0.03,0.12,Matches
94,Omar Browne\Omar-Browne,pa PAN,FWMF,Montreal,24,1994,10,5,564,6.3,2,1,2,0,0,1,0,0.32,0.16,0.48,0.32,0.48,1.3,1.3,1.1,2.4,0.20,0.18,0.38,0.20,0.38,Matches
95,Will Bruin\Will-Bruin,us USA,FW,Seattle,29,1989,9,4,429,4.8,2,1,2,0,0,1,0,0.42,0.21,0.63,0.42,0.63,1.5,1.5,0.0,1.5,0.30,0.01,0.31,0.30,0.31,Matches
96,Tajon Buchanan\Tajon-Buchanan,ca CAN,MF,New England,19,1999,10,4,392,4.4,0,2,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,0.8,0.8,1.3,2.1,0.19,0.29,0.47,0.19,0.47,Matches
97,Rece Buckmaster\Rece-Buckmaster,us USA,DF,NY Red Bulls,22,1996,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.02,0.06,0.07,0.02,0.07,Matches
98,Teal Bunbury\Teal-Bunbury,us USA,FWMF,New England,28,1990,32,25,2189,24.3,6,2,6,0,0,2,0,0.25,0.08,0.33,0.25,0.33,6.5,6.5,1.6,8.1,0.27,0.07,0.33,0.27,0.33,Matches
99,Cory Burke\Cory-Burke,jm JAM,FW,Philadelphia,27,1991,7,5,490,5.4,2,0,2,0,0,2,0,0.37,0.00,0.37,0.37,0.37,1.8,1.1,0.3,1.5,0.32,0.06,0.39,0.20,0.27,Matches
100,Evan Bush\Evan-Bush,us USA,GK,Montreal,32,1986,32,32,2880,32.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
101,Gianluca Busio\Gianluca-Busio,us USA,MF,Sporting KC,16,2002,22,10,928,10.3,3,1,3,0,0,1,0,0.29,0.10,0.39,0.29,0.39,4.2,4.0,0.7,4.7,0.41,0.07,0.48,0.39,0.46,Matches
102,Handwalla Bwana\Handwalla-Bwana,us USA,FW,Seattle,21,1997,15,6,572,6.4,1,1,1,0,0,1,0,0.16,0.16,0.31,0.16,0.31,0.8,0.8,1.3,2.1,0.13,0.20,0.33,0.13,0.33,Matches
103,Brandon Bye\Brandon-Bye,us USA,DF,New England,23,1995,30,30,2655,29.5,2,2,2,0,0,6,1,0.07,0.07,0.14,0.07,0.14,1.6,1.6,2.7,4.2,0.05,0.09,0.14,0.05,0.14,Matches
104,Víctor Cabrera\Victor-Cabrera,ar ARG,DF,Montreal,25,1993,16,13,1180,13.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.00,0.03,0.02,0.03,Matches
105,Luís Caicedo\Luis-Caicedo,co COL,MF,New England,22,1996,31,27,2354,26.2,0,0,-1,1,1,5,0,0.00,0.00,0.00,-0.04,-0.04,1.5,0.7,1.0,1.7,0.06,0.04,0.09,0.03,0.06,Matches
106,Scott Caldwell\Scott-Caldwell,us USA,MF,New England,27,1991,20,12,1082,12.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.03,0.03,0.01,0.03,Matches
107,Alexander Callens\Alexander-Callens,pe PER,DF,NYCFC,26,1992,24,24,2160,24.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.03,0.01,0.04,0.03,0.04,Matches
108,Eric Calvillo\Eric-Calvillo,us USA,MFDF,San Jose,21,1998,2,1,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
109,Francisco Calvo\Francisco-Calvo,cr CRC,DF,Chicago,26,1992,23,21,1936,21.5,3,1,3,0,0,4,0,0.14,0.05,0.19,0.14,0.19,2.7,2.7,1.2,3.9,0.13,0.06,0.18,0.13,0.18,Matches
