Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Brenden Aaronson\Brenden-Aaronson,us USA,MFFW,Philadelphia,18,2000,28,25,1706,19.0,3,1,3,0,0,3,0,0.16,0.05,0.21,0.16,0.21,3.9,3.9,2.1,6.0,0.20,0.11,0.32,0.20,0.32,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,Seattle,27,1991,18,11,1067,11.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.9,0.01,0.07,0.08,0.01,0.08,Matches
3,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Colorado,24,1994,22,22,1980,22.0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.1,1.4,0.06,0.00,0.06,0.06,0.06,Matches
4,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Columbus,24,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.19,0.00,0.19,0.19,0.19,Matches
5,David Accam\David-Accam,gh GHA,FW,Philadelphia,28,1990,8,4,338,3.8,4,2,4,0,0,0,0,1.07,0.53,1.60,1.07,1.60,2.1,2.1,0.2,2.3,0.56,0.05,0.62,0.56,0.62,Matches
6,David Accam\David-Accam,gh GHA,FWMF,Columbus,28,1990,15,8,667,7.4,2,1,2,0,0,1,0,0.27,0.13,0.40,0.27,0.40,1.2,1.2,1.0,2.2,0.16,0.13,0.30,0.16,0.30,Matches
7,Bryan Acosta\Bryan-Acosta,hn HON,MF,FC Dallas,25,1993,26,23,2073,23.0,2,1,2,0,0,12,0,0.09,0.04,0.13,0.09,0.13,2.0,2.0,2.2,4.2,0.09,0.09,0.18,0.09,0.18,Matches
8,Danilo Acosta\Danilo-Acosta,us USA,DF,Orlando City,21,1997,8,8,667,7.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matches
9,Kellyn Acosta\Kellyn-Acosta,us USA,MF,Colorado,23,1995,31,30,2615,29.1,2,1,2,0,0,10,1,0.07,0.03,0.10,0.07,0.10,1.5,1.5,2.3,3.9,0.05,0.08,0.13,0.05,0.13,Matches
10,Luciano Acosta\Luciano-Acosta,ar ARG,MFFW,D.C. United,24,1994,31,22,2122,23.6,6,1,6,0,0,0,1,0.25,0.04,0.30,0.25,0.30,4.3,4.3,2.8,7.2,0.18,0.12,0.30,0.18,0.30,Matches
