Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
484,Luis Robles\Luis-Robles,us USA,GK,NY Red Bulls,33,1984,31,31,2790,31.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
485,Tony Rocha\Tony-Rocha,bz BLZ,DFMF,Orlando City,24,1993,12,9,819,9.1,0,2,0,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.8,0.8,1.0,1.8,0.08,0.11,0.20,0.08,0.20,Matches
486,Angelo Rodríguez\Angelo-Rodriguez,co COL,FW,Minnesota,28,1989,11,10,868,9.6,4,1,4,0,0,1,0,0.41,0.10,0.52,0.41,0.52,4.5,4.5,1.1,5.5,0.47,0.11,0.57,0.47,0.57,Matches
487,Memo Rodriguez\Memo-Rodriguez,us USA,FWMF,Houston,22,1995,19,6,656,7.3,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.9,0.9,0.8,1.7,0.12,0.11,0.23,0.12,0.23,Matches
488,Víctor Rodríguez\Victor-Rodriguez,es ESP,FWMF,Seattle,28,1989,19,14,1257,14.0,5,3,5,0,0,0,0,0.36,0.21,0.57,0.36,0.57,4.5,4.5,2.3,6.9,0.32,0.17,0.49,0.32,0.49,Matches
489,Alex Roldan\Alex-Roldan,us USA,FWMF,Seattle,21,1996,19,7,739,8.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.1,0.10,0.03,0.13,0.10,0.13,Matches
490,Cristian Roldan\Cristian-Roldan,us USA,MFFW,Seattle,22,1995,34,34,3052,33.9,4,6,4,0,0,4,0,0.12,0.18,0.29,0.12,0.29,2.9,2.9,3.4,6.3,0.08,0.10,0.18,0.08,0.18,Matches
491,David Romney\David-Romney,us USA,DF,LA Galaxy,24,1993,28,26,2354,26.2,1,2,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11,0.3,0.3,0.8,1.1,0.01,0.03,0.04,0.01,0.04,Matches
492,Wayne Rooney\Wayne-Rooney,eng ENG,FW,D.C. United,32,1985,20,18,1639,18.2,12,6,9,3,3,1,0,0.66,0.33,0.99,0.49,0.82,11.2,8.9,3.7,12.6,0.62,0.20,0.82,0.49,0.69,Matches
493,Oriol Rosell\Oriol-Rosell,es ESP,MF,Orlando City,25,1992,22,18,1704,18.9,0,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.7,0.7,1.1,1.8,0.04,0.06,0.09,0.04,0.09,Matches
494,Keegan Rosenberry\Keegan-Rosenberry,us USA,DF,Philadelphia,24,1993,32,31,2773,30.8,1,3,1,0,0,3,0,0.03,0.10,0.13,0.03,0.13,1.3,1.3,1.6,2.9,0.04,0.05,0.09,0.04,0.09,Matches
495,Diego Rossi\Diego-Rossi,uy URU,FW,Los Angeles FC,19,1998,32,30,2599,28.9,12,6,12,0,0,0,0,0.42,0.21,0.62,0.42,0.62,12.4,12.4,4.8,17.2,0.44,0.17,0.62,0.44,0.62,Matches
496,Brian Rowe\Brian-Rowe,us USA,GK,Vancouver,29,1988,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
497,Kelyn Rowe\Kelyn-Rowe,us USA,MFFW,New England,26,1991,27,18,1611,17.9,1,2,1,0,0,6,0,0.06,0.11,0.17,0.06,0.17,1.6,1.6,2.6,4.2,0.09,0.15,0.23,0.09,0.23,Matches
498,Daniel Royer\Daniel-Royer,at AUT,FW,NY Red Bulls,27,1990,29,24,2042,22.7,11,2,9,2,2,1,1,0.48,0.09,0.57,0.40,0.48,12.6,11.1,2.3,13.4,0.55,0.10,0.66,0.49,0.59,Matches
499,Diego Rubio\Diego-Rubio,cl CHI,FW,Sporting KC,24,1993,20,9,784,8.7,8,4,8,0,0,3,0,0.92,0.46,1.38,0.92,1.38,3.8,3.8,1.9,5.6,0.43,0.22,0.65,0.43,0.65,Matches
500,Raúl Ruidíaz\Raul-Ruidiaz,pe PER,FW,Seattle,27,1990,14,13,1094,12.2,10,1,10,0,0,1,0,0.82,0.08,0.90,0.82,0.90,9.0,9.0,0.9,10.0,0.74,0.08,0.82,0.74,0.82,Matches
501,Pablo Ruíz\Pablo-Ruiz,ar ARG,DFMF,Real Salt Lake,19,1998,12,5,533,5.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.07,0.03,0.10,0.07,0.10,Matches
502,Albert Rusnák\Albert-Rusnak,sk SVK,MFFW,Real Salt Lake,23,1994,31,29,2591,28.8,10,5,7,3,4,0,0,0.35,0.17,0.52,0.24,0.42,7.6,4.6,7.8,12.4,0.27,0.27,0.54,0.16,0.43,Matches
503,Johnny Russell\Johnny-Russell,sco SCO,FW,Sporting KC,27,1990,30,24,2178,24.2,10,7,9,1,1,3,0,0.41,0.29,0.70,0.37,0.66,8.5,8.5,5.5,13.9,0.36,0.24,0.60,0.36,0.60,Matches
504,Marc Rzatkowski\Marc-Rzatkowski,de GER,MFFW,NY Red Bulls,27,1990,24,16,1499,16.7,2,3,2,0,0,4,0,0.12,0.18,0.30,0.12,0.30,1.6,1.6,4.9,6.5,0.10,0.29,0.39,0.10,0.39,Matches
505,Bacary Sagna\Bacary-Sagna,fr FRA,DF,Montreal,34,1983,9,9,810,9.0,1,0,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,0.9,0.9,0.8,1.8,0.10,0.09,0.20,0.10,0.20,Matches
506,Shea Salinas\Shea-Salinas,us USA,DF,San Jose,31,1986,25,20,1820,20.2,0,2,0,0,0,3,1,0.00,0.10,0.10,0.00,0.10,0.4,0.4,1.7,2.1,0.02,0.08,0.10,0.02,0.10,Matches
507,Dániel Sallói\Daniel-Salloi,hu HUN,FW,Sporting KC,21,1996,29,26,2286,25.4,11,7,11,0,0,3,1,0.43,0.28,0.71,0.43,0.71,7.1,7.1,4.5,11.7,0.29,0.19,0.48,0.29,0.48,Matches
508,Ilie Sánchez\Ilie-Sanchez,es ESP,MF,Sporting KC,27,1990,34,34,3060,34.0,4,3,0,4,6,6,0,0.12,0.09,0.21,0.00,0.09,5.3,1.5,2.9,4.4,0.16,0.09,0.25,0.05,0.13,Matches
509,Richard Sánchez\Richard-Sanchez,mx MEX,GK,Chicago,23,1994,25,24,2207,24.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
510,James Sands\James-Sands,us USA,MF,NYCFC,17,2000,3,3,220,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.05,0.03,0.08,0.05,0.08,Matches
511,Lamine Sané\Lamine-Sane,sn SEN,DF,Orlando City,30,1987,16,15,1372,15.2,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,0.3,0.3,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches
512,Harold Santiago Mosquera\Harold-Santiago-Mosquera,co COL,FWMF,FC Dallas,22,1995,29,17,1591,17.7,6,4,6,0,0,0,0,0.34,0.23,0.57,0.34,0.57,5.3,5.3,3.6,8.8,0.32,0.21,0.53,0.32,0.53,Matches
513,Pedro Santos\Pedro-Santos,pt POR,FWMF,Columbus,29,1988,30,29,2206,24.5,1,4,1,0,0,4,1,0.04,0.16,0.20,0.04,0.20,4.0,4.0,5.2,9.1,0.16,0.21,0.37,0.16,0.37,Matches
514,C.J. Sapong\CJ-Sapong,us USA,FW,Philadelphia,29,1988,32,29,2307,25.6,4,3,4,0,1,3,0,0.16,0.12,0.27,0.16,0.27,10.1,9.3,2.7,12.0,0.39,0.10,0.50,0.36,0.47,Matches
515,Sebastián Saucedo\Sebastian-Saucedo,us USA,FW,Real Salt Lake,21,1997,28,10,1039,11.5,3,2,3,0,0,1,0,0.26,0.17,0.43,0.26,0.43,2.7,2.7,0.9,3.7,0.24,0.08,0.32,0.24,0.32,Matches
516,Gastón Sauro\Gaston-Sauro,ar ARG,DF,Columbus,27,1990,7,6,521,5.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
517,Jefferson Savarino\Jefferson-Savarino,ve VEN,FW,Real Salt Lake,21,1996,32,32,2850,31.7,7,9,7,0,0,2,0,0.22,0.28,0.51,0.22,0.51,5.9,5.9,7.8,13.8,0.19,0.25,0.43,0.19,0.43,Matches
518,Chris Schuler\Chris-Schuler,us USA,DF,Orlando City,30,1987,9,8,786,8.7,1,0,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,0.6,0.6,0.0,0.6,0.06,0.00,0.06,0.06,0.06,Matches
519,Rasmus Schüller\Rasmus-Schuller,fi FIN,MFFW,Minnesota,26,1991,31,29,2541,28.2,1,3,1,0,0,5,0,0.04,0.11,0.14,0.04,0.14,1.1,1.1,1.9,3.0,0.04,0.07,0.11,0.04,0.11,Matches
520,Bastian Schweinsteiger\Bastian-Schweinsteiger,de GER,MFDF,Chicago,33,1984,31,30,2723,30.3,4,5,4,0,1,7,0,0.13,0.17,0.30,0.13,0.30,2.7,1.9,2.5,4.4,0.09,0.08,0.17,0.06,0.15,Matches
521,Mark Segbers\Mark-Segbers,us USA,DF,New England,21,1996,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
522,Ulises Segura\Ulises-Segura,cr CRC,MFFW,D.C. United,24,1993,23,14,1293,14.4,2,1,2,0,0,1,0,0.14,0.07,0.21,0.14,0.21,1.9,1.9,1.7,3.6,0.13,0.12,0.25,0.13,0.25,Matches
523,Chris Seitz\Chris-Seitz,us USA,GK,Houston,30,1987,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
524,Philippe Senderos\Philippe-Senderos,ch SUI,DF,Houston,32,1985,8,7,607,6.7,4,0,4,0,0,2,0,0.59,0.00,0.59,0.59,0.59,1.0,1.0,0.1,1.1,0.15,0.02,0.16,0.15,0.16,Matches
525,Dillon Serna\Dillon-Serna,us USA,MFFW,Colorado,23,1994,20,10,1191,13.2,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,1.3,1.3,0.9,2.2,0.10,0.07,0.17,0.10,0.17,Matches
526,Brek Shea\Brek-Shea,us USA,FWDF,Vancouver,27,1990,28,15,1525,16.9,3,2,3,0,0,3,0,0.18,0.12,0.30,0.18,0.30,2.4,2.4,1.5,3.9,0.14,0.09,0.23,0.14,0.23,Matches
527,Khiry Shelton\Khiry-Shelton,us USA,FW,Sporting KC,24,1993,20,15,1369,15.2,2,5,2,0,0,2,0,0.13,0.33,0.46,0.13,0.46,4.2,4.2,3.7,7.9,0.30,0.26,0.56,0.29,0.55,Matches
528,Harry Shipp\Harry-Shipp,us USA,FW,Seattle,26,1991,19,15,1221,13.6,3,1,3,0,0,1,0,0.22,0.07,0.29,0.22,0.29,2.3,2.3,0.6,2.9,0.17,0.04,0.22,0.17,0.22,Matches
529,Shamit Shome\Shamit-Shome,ca CAN,MF,Montreal,20,1997,5,2,251,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.15,0.00,0.15,0.15,0.15,Matches
530,Bobby Shuttleworth\Bobby-Shuttleworth,us USA,GK,Minnesota,30,1987,25,25,2250,25.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
531,Alejandro Silva González\Alejandro-Silva-Gonzalez,uy URU,FWMF,Montreal,28,1989,31,27,2362,26.2,5,8,4,1,1,4,0,0.19,0.30,0.50,0.15,0.46,6.3,5.5,6.1,11.6,0.24,0.23,0.47,0.21,0.44,Matches
532,Danilo da Silva\Danilo-da-Silva,br BRA,DF,Los Angeles FC,31,1986,10,9,721,8.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.08,0.01,0.09,0.08,0.09,Matches
533,Luis Silva\Luis-Silva,us USA,FW,Real Salt Lake,29,1988,19,9,814,9.0,5,0,4,1,1,0,0,0.55,0.00,0.55,0.44,0.44,4.3,3.5,1.1,4.6,0.47,0.12,0.60,0.39,0.51,Matches
534,Marcelo Silva\Marcelo-Silva,uy URU,DF,Real Salt Lake,28,1989,18,18,1555,17.3,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.6,0.03,0.00,0.03,0.03,0.03,Matches
535,Pierre da Silva\Pierre-da-Silva,us USA,FW,Orlando City,19,1998,2,0,51,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
536,Jay Simpson\Jay-Simpson,eng ENG,FWMF,Philadelphia,29,1988,8,1,164,1.8,2,0,2,0,0,0,0,1.10,0.00,1.10,1.10,1.10,1.6,1.6,0.0,1.6,0.89,0.00,0.89,0.89,0.89,Matches
537,Seth Sinovic\Seth-Sinovic,us USA,DF,Sporting KC,31,1987,23,19,1648,18.3,0,1,0,0,0,4,1,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.7,1.0,0.02,0.04,0.06,0.02,0.06,Matches
538,Axel Sjöberg\Axel-Sjoberg,se SWE,DF,Colorado,26,1991,17,15,1333,14.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.03,0.00,0.03,0.03,0.03,Matches
539,Jørgen Skjelvik\Jorgen-Skjelvik,no NOR,DF,LA Galaxy,26,1991,32,29,2588,28.8,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,0.2,0.7,0.02,0.01,0.02,0.02,0.02,Matches
540,Brad Smith\Brad-Smith,au AUS,DF,Seattle,23,1994,6,6,443,4.9,0,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.3,0.3,0.8,1.0,0.06,0.15,0.21,0.06,0.21,Matches
541,Graham Smith\Graham-Smith,us USA,DF,Sporting KC,22,1995,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.08,0.00,0.08,0.08,0.08,Matches
542,Tommy Smith\Tommy-Smith,nz NZL,DF,Colorado,27,1990,33,33,2969,33.0,4,3,4,0,0,6,1,0.12,0.09,0.21,0.12,0.21,2.0,2.0,0.8,2.8,0.06,0.03,0.09,0.06,0.09,Matches
543,Luis Solignac\Luis-Solignac,ar ARG,FWMF,Chicago,26,1991,11,8,699,7.8,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,1.7,1.7,0.3,1.9,0.22,0.04,0.25,0.22,0.25,Matches
544,Gabriel Somi\Gabriel-Somi,sy SYR,DF,New England,26,1991,14,12,1038,11.5,0,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,0.7,0.9,0.02,0.06,0.08,0.02,0.08,Matches
545,Eduardo Sosa\Eduardo-Sosa,ve VEN,MFFW,Columbus,20,1997,10,3,391,4.3,1,0,1,0,0,1,1,0.23,0.00,0.23,0.23,0.23,0.4,0.4,0.6,1.0,0.10,0.14,0.24,0.10,0.24,Matches
546,Jonathan Spector\Jonathan-Spector,us USA,DF,Orlando City,31,1986,13,13,1059,11.8,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.9,0.9,0.6,1.4,0.07,0.05,0.12,0.07,0.12,Matches
547,Ben Spencer\Ben-Spencer,us USA,FW,Toronto FC,22,1995,2,1,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.7,0.75,0.04,0.79,0.75,0.79,Matches
548,Mac Steeves\Mac-Steeves,us USA,MFFW,Houston,23,1994,3,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.15,0.46,0.61,0.15,0.61,Matches
549,Zack Steffen\Zack-Steffen,us USA,GK,Columbus,22,1995,29,29,2610,29.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches
550,Daniel Steres\Daniel-Steres,us USA,DF,LA Galaxy,27,1990,20,14,1322,14.7,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,0.4,0.7,0.02,0.03,0.05,0.02,0.05,Matches
551,Zoltán Stieber\Zoltan-Stieber,hu HUN,MFFW,D.C. United,29,1988,27,21,1827,20.3,5,6,5,0,0,1,0,0.25,0.30,0.54,0.25,0.54,4.0,4.0,3.4,7.3,0.20,0.17,0.36,0.20,0.36,Matches
552,Brad Stuver\Brad-Stuver,us USA,GK,NYCFC,26,1991,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
553,Sunny\Sunny,ng NGA,MF,Real Salt Lake,29,1988,23,16,1416,15.7,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,0.5,0.8,0.02,0.03,0.05,0.02,0.05,Matches
554,Scott Sutter\Scott-Sutter,ch SUI,DF,Orlando City,31,1986,19,18,1563,17.4,3,2,3,0,0,0,0,0.17,0.12,0.29,0.17,0.29,0.8,0.8,1.3,2.2,0.05,0.08,0.13,0.05,0.13,Matches
555,Gustav Svensson\Gustav-Svensson,se SWE,MFDF,Seattle,30,1987,24,23,2072,23.0,3,1,3,0,0,2,0,0.13,0.04,0.17,0.13,0.17,1.3,1.3,1.0,2.3,0.05,0.04,0.10,0.05,0.10,Matches
556,Ben Sweat\Ben-Sweat,us USA,DF,NYCFC,26,1991,28,24,2195,24.4,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,1.0,1.0,1.9,3.0,0.04,0.08,0.13,0.04,0.13,Matches
557,Saphir Taïder\Saphir-Taider,dz ALG,MF,Montreal,25,1992,33,33,2849,31.7,7,5,6,1,1,3,1,0.22,0.16,0.38,0.19,0.35,6.8,6.1,4.2,10.3,0.22,0.13,0.35,0.19,0.32,Matches
558,Mitchell Taintor\Mitchell-Taintor,us USA,DF,Toronto FC,23,1994,1,1,90,1.0,1,0,1,0,0,1,0,1.00,0.00,1.00,1.00,1.00,0.1,0.1,0.1,0.1,0.08,0.06,0.14,0.08,0.14,Matches
559,Ismael Tajouri-Shradi\Ismael-Tajouri-Shradi,ly LBY,FWMF,NYCFC,23,1994,27,18,1546,17.2,11,1,11,0,0,2,0,0.64,0.06,0.70,0.64,0.70,4.1,4.1,3.6,7.7,0.24,0.22,0.46,0.24,0.46,Matches
560,Andrew Tarbell\Andrew-Tarbell,us USA,GK,San Jose,24,1993,29,29,2610,29.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.01,0.01,0.00,0.01,Matches
561,Amro Tarek\Amro-Tarek,eg EGY,DF,Orlando City,25,1992,20,19,1696,18.8,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.2,1.6,0.08,0.01,0.08,0.08,0.08,Matches
562,Tony Tchani\Tony-Tchani,cm CMR,MF,Chicago,28,1989,13,9,826,9.2,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.3,0.3,0.3,0.6,0.03,0.03,0.07,0.03,0.07,Matches
563,Cristian Techera\Cristian-Techera,uy URU,FWMF,Vancouver,25,1992,21,16,1344,14.9,8,1,7,1,1,7,1,0.54,0.07,0.60,0.47,0.54,6.6,5.8,2.6,8.4,0.44,0.17,0.61,0.39,0.56,Matches
564,Russell Teibert\Russell-Teibert,ca CAN,MF,Vancouver,25,1992,23,17,1606,17.8,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.3,0.3,1.2,1.5,0.02,0.07,0.08,0.02,0.08,Matches
565,Ryan Telfer\Ryan-Telfer,tt TRI,DFFW,Toronto FC,23,1994,15,9,815,9.1,1,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,0.4,0.4,1.6,2.0,0.04,0.18,0.23,0.04,0.23,Matches
566,Jérôme Thiesson\Jerome-Thiesson,ch SUI,DF,Minnesota,30,1987,14,13,1106,12.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.1,1.2,0.01,0.09,0.10,0.01,0.10,Matches
567,Tommy Thompson\Tommy-Thompson,us USA,MFFW,San Jose,22,1995,14,6,634,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.8,1.4,0.09,0.12,0.20,0.09,0.20,Matches
568,Chris Tierney\Chris-Tierney,us USA,DF,New England,32,1986,6,3,311,3.5,1,0,1,0,0,1,0,0.29,0.00,0.29,0.29,0.29,0.2,0.2,0.7,0.9,0.05,0.21,0.26,0.05,0.26,Matches
569,Anton Tinnerholm\Anton-Tinnerholm,se SWE,DF,NYCFC,26,1991,31,31,2696,30.0,4,5,4,0,0,5,0,0.13,0.17,0.30,0.13,0.30,1.8,1.8,2.6,4.4,0.06,0.09,0.15,0.06,0.15,Matches
570,Donny Toia\Donny-Toia,us USA,DF,Orlando City,25,1992,4,3,237,2.6,0,1,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,0.0,0.0,0.1,0.1,0.02,0.03,0.05,0.02,0.05,Matches
571,Nouhou Tolo\Nouhou-Tolo,cm CMR,DF,Seattle,20,1997,28,23,2036,22.6,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.2,1.9,0.03,0.05,0.08,0.03,0.08,Matches
572,Román Torres\Roman-Torres,pa PAN,DF,Seattle,31,1986,13,7,692,7.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,1.1,0.13,0.01,0.14,0.13,0.14,Matches
573,Mason Toye\Mason-Toye,us USA,FW,Minnesota,19,1998,17,2,351,3.9,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,1.6,1.6,0.1,1.7,0.42,0.02,0.43,0.42,0.43,Matches
574,Wil Trapp\Wil-Trapp,us USA,MF,Columbus,25,1993,30,29,2619,29.1,1,1,1,0,0,3,0,0.03,0.03,0.07,0.03,0.07,0.2,0.2,1.3,1.5,0.01,0.05,0.05,0.01,0.05,Matches
575,Auston Trusty\Auston-Trusty,us USA,DF,Philadelphia,19,1998,34,34,3060,34.0,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,0.6,0.6,0.2,0.8,0.02,0.01,0.02,0.02,0.02,Matches
576,Bill Tuiloma\Bill-Tuiloma,nz NZL,DF,Portland,22,1995,13,7,717,8.0,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.4,0.4,0.1,0.4,0.05,0.01,0.06,0.05,0.06,Matches
577,Matt Turner\Matt-Turner,us USA,GK,New England,23,1994,27,27,2430,27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
578,Ema Twumasi\Ema-Twumasi,gh GHA,FW,FC Dallas,20,1997,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.18,0.00,0.18,0.18,0.18,Matches
579,Victor Ulloa\Victor-Ulloa,us USA,MF,FC Dallas,25,1992,27,25,2166,24.1,1,2,1,0,0,1,0,0.04,0.08,0.12,0.04,0.12,0.9,0.9,1.6,2.5,0.04,0.07,0.11,0.04,0.11,Matches
580,Marco Ureña\Marco-Urena,cr CRC,FW,Los Angeles FC,27,1990,18,11,1016,11.3,1,4,1,0,1,0,0,0.09,0.35,0.44,0.09,0.44,5.3,4.6,2.0,6.6,0.47,0.18,0.65,0.41,0.58,Matches
581,Maximiliano Urruti\Maximiliano-Urruti,ar ARG,FWMF,FC Dallas,26,1991,33,30,2733,30.4,8,7,8,0,0,3,0,0.26,0.23,0.49,0.26,0.49,10.6,10.6,4.1,14.7,0.36,0.14,0.50,0.36,0.50,Matches
582,Zarek Valentin\Zarek-Valentin,us USA,DF,Portland,26,1991,32,30,2723,30.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.6,1.9,0.01,0.05,0.06,0.01,0.06,Matches
583,Milton Valenzuela\Milton-Valenzuela,ar ARG,DF,Columbus,19,1998,30,29,2553,28.4,1,3,1,0,0,6,0,0.04,0.11,0.14,0.04,0.14,1.1,1.1,4.2,5.3,0.04,0.15,0.19,0.04,0.19,Matches
584,Diego Valeri\Diego-Valeri,ar ARG,MFFW,Portland,31,1986,32,31,2743,30.5,10,11,6,4,5,4,0,0.33,0.36,0.69,0.20,0.56,11.6,7.8,8.3,16.1,0.38,0.27,0.65,0.26,0.53,Matches
585,Florian Valot\Florian-Valot,fr FRA,FWMF,NY Red Bulls,24,1993,14,13,1144,12.7,3,4,3,0,0,1,0,0.24,0.31,0.55,0.24,0.55,3.3,3.3,2.0,5.3,0.26,0.16,0.42,0.26,0.42,Matches
586,Jeisson Vargas\Jeisson-Vargas,cl CHI,FWMF,Montreal,20,1997,19,10,871,9.7,4,0,4,0,0,1,0,0.41,0.00,0.41,0.41,0.41,2.1,2.1,0.6,2.7,0.22,0.06,0.28,0.22,0.28,Matches
587,Brandon Vazquez\Brandon-Vazquez,us USA,FW,Atlanta,19,1998,8,0,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.1,1.8,1.62,0.08,1.69,1.62,1.69,Matches
588,Víctor Vázquez\Victor-Vazquez,es ESP,MFFW,Toronto FC,31,1987,21,19,1430,15.9,8,4,6,2,2,0,0,0.50,0.25,0.76,0.38,0.63,4.6,3.1,3.6,6.7,0.29,0.23,0.52,0.19,0.42,Matches
589,Carlos Vela\Carlos-Vela,mx MEX,FWMF,Los Angeles FC,28,1989,28,26,2378,26.4,14,9,10,4,4,1,0,0.53,0.34,0.87,0.38,0.72,10.7,7.7,8.9,16.6,0.42,0.35,0.77,0.30,0.65,Matches
590,David Villa\David-Villa,es ESP,FW,NYCFC,36,1981,23,20,1748,19.4,14,5,12,2,3,4,0,0.72,0.26,0.98,0.62,0.88,11.1,9.6,5.7,15.3,0.60,0.31,0.91,0.52,0.83,Matches
591,Jorge Villafaña\Jorge-Villafana,us USA,DF,Portland,28,1989,8,7,654,7.3,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.0,0.0,1.2,1.2,0.00,0.16,0.16,0.00,0.16,Matches
592,Héctor Villalba\Hector-Villalba,py PAR,FW,Atlanta,23,1994,28,21,1773,19.7,7,6,7,0,0,4,0,0.36,0.30,0.66,0.36,0.66,7.0,7.0,5.8,12.9,0.36,0.30,0.65,0.36,0.65,Matches
593,Jose Villarreal\Jose-Villarreal,us USA,MF,Orlando City,24,1993,3,0,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.40,0.40,0.00,0.40,Matches
