Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
420,Shane O'Neill\Shane-ONeill,us USA,DF,Orlando City,24,1993,13,13,1117,12.4,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.02,0.00,0.03,0.02,0.03,Matches
421,Jimmy Ockford\Jimmy-Ockford,us USA,DF,San Jose,25,1992,15,11,1087,12.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.9,0.05,0.02,0.07,0.05,0.07,Matches
422,Chris Odoi-Atsem\Chris-Odoi-Atsem,us USA,DFMF,D.C. United,22,1995,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.67,0.58,1.24,0.67,1.24,Matches
423,Dominic Oduro\Dominic-Oduro,gh GHA,FWMF,Montreal,32,1985,5,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.26,0.00,0.26,0.26,0.26,Matches
424,Dominic Oduro\Dominic-Oduro,gh GHA,FWMF,San Jose,32,1985,5,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.19,0.19,0.00,0.19,Matches
425,Ebenezer Ofori\Ebenezer-Ofori,gh GHA,MF,NYCFC,22,1995,27,21,1895,21.1,1,0,1,0,0,3,1,0.05,0.00,0.05,0.05,0.05,1.0,1.0,0.3,1.3,0.05,0.01,0.06,0.05,0.06,Matches
426,Lawrence Olum\Lawrence-Olum,ke KEN,MFDF,Portland,33,1984,22,18,1630,18.1,1,0,1,0,0,3,1,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.2,0.8,0.03,0.01,0.04,0.03,0.04,Matches
427,Wyatt Omsberg\Wyatt-Omsberg,us USA,DF,Minnesota,22,1995,7,4,387,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
428,Nedum Onuoha\Nedum-Onuoha,eng ENG,DF,Real Salt Lake,31,1986,2,1,93,1.0,0,1,0,0,0,0,0,0.00,0.97,0.97,0.00,0.97,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06,Matches
429,Ike Opara\Ike-Opara,us USA,DF,Sporting KC,28,1989,31,31,2772,30.8,3,2,3,0,0,6,0,0.10,0.06,0.16,0.10,0.16,3.3,3.3,0.8,4.2,0.11,0.03,0.14,0.11,0.14,Matches
