Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
35,Vytas Andriuškevičius\Vytas-Andriuskevicius,lt LTU,DF,Portland,26,1990,23,19,1780,19.8,0,4,0,0,0,5,0,0.00,0.20,0.20,0.00,0.20,Matches
36,Benjamin Angoua\Benjamin-Angoua,ci CIV,DF,New England,30,1986,26,26,2310,25.7,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches
37,Pele van Anholt\Pele-van-Anholt,nl NED,DF,LA Galaxy,25,1991,5,5,354,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Houston,28,1988,8,4,465,5.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Victor Arboleda\Victor-Arboleda,co COL,FWMF,Portland,20,1997,5,0,57,0.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
40,Hugo Arellano\Hugo-Arellano,us USA,DF,LA Galaxy,18,1998,4,4,333,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Adrián Arregui\Adrian-Arregui,ar ARG,MF,Montreal,24,1992,6,3,239,2.7,0,1,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,Matches
42,Paul Arriola\Paul-Arriola,us USA,MF,D.C. United,21,1995,11,11,918,10.2,1,2,1,0,0,2,0,0.10,0.20,0.29,0.10,0.29,Matches
43,David Arshakyan\David-Arshakyan,am ARM,FW,Chicago,22,1994,7,0,29,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Artur\Artur,br BRA,MF,Columbus,20,1996,24,19,1701,18.9,0,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
45,Yamil Asad\Yamil-Asad,ar ARG,MF,Atlanta,22,1994,32,31,2758,30.6,7,11,6,1,1,7,1,0.23,0.36,0.59,0.20,0.55,Matches
46,Dairon Asprilla\Dairon-Asprilla,co COL,MF,Portland,24,1992,27,17,1393,15.5,2,4,2,0,0,1,0,0.13,0.26,0.39,0.13,0.39,Matches
47,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,28,1988,14,13,1243,13.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
