Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Anatole Abang\Anatole-Abang,cm CMR,FW,NY Red Bulls,19,1996,8,2,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,Sporting KC,24,1991,30,26,2378,26.4,0,3,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches
3,David Accam\David-Accam,gh GHA,MFFW,Chicago,25,1990,24,21,1934,21.5,9,2,7,2,2,4,0,0.42,0.09,0.51,0.33,0.42,Matches
4,Kellyn Acosta\Kellyn-Acosta,us USA,MF,FC Dallas,20,1995,32,24,2330,25.9,2,3,2,0,0,4,0,0.08,0.12,0.19,0.08,0.19,Matches
5,Luciano Acosta\Luciano-Acosta,ar ARG,MFFW,D.C. United,21,1994,31,25,2100,23.3,3,8,3,0,0,9,0,0.13,0.34,0.47,0.13,0.47,Matches
6,Tyler Adams\Tyler-Adams,us USA,MF,NY Red Bulls,16,1999,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Sam Adekugbe\Sam-Adekugbe,ca CAN,DF,Vancouver,21,1995,2,1,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Portland,25,1990,33,30,2646,29.4,16,0,14,2,4,7,0,0.54,0.00,0.54,0.48,0.48,Matches
9,Harrison Afful\Harrison-Afful,gh GHA,DF,Columbus,29,1986,30,30,2561,28.5,3,3,3,0,0,1,1,0.11,0.11,0.21,0.11,0.21,Matches
10,Juan Agudelo\Juan-Agudelo,us USA,FWMF,New England,23,1992,24,14,1347,15.0,7,4,7,0,0,5,0,0.47,0.27,0.73,0.47,0.73,Matches
11,Miguel Aguilar\Miguel-Aguilar,mx MEX,MF,D.C. United,22,1993,6,0,96,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Agus\Agus,es ESP,DF,Houston,30,1985,8,8,671,7.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Fraser Aird\Fraser-Aird,ca CAN,DFMF,Vancouver,20,1995,18,16,1454,16.2,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,Matches
14,José Aja\Jose-Aja,uy URU,DF,Orlando City,22,1993,10,9,830,9.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Tesho Akindele\Tesho-Akindele,ca CAN,FWMF,FC Dallas,23,1992,31,15,1519,16.9,6,4,4,2,2,2,0,0.36,0.24,0.59,0.24,0.47,Matches
16,Fatai Alashe\Fatai-Alashe,us USA,MF,San Jose,22,1993,28,27,2330,25.9,3,1,3,0,0,8,0,0.12,0.04,0.15,0.12,0.15,Matches
17,Roland Alberg\Roland-Alberg,nl NED,MF,Philadelphia,25,1990,28,13,1158,12.9,9,1,5,4,4,2,2,0.70,0.08,0.78,0.39,0.47,Matches
18,Alex\Alex,br BRA,MF,Houston,27,1988,30,29,2472,27.5,5,2,5,0,0,8,1,0.18,0.07,0.25,0.18,0.25,Matches
19,Eric Alexander\Eric-Alexander,us USA,MF,Houston,27,1988,10,3,331,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Eric Alexander\Eric-Alexander,us USA,MF,Montreal,27,1988,12,12,1046,11.6,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches
21,Tony Alfaro\Tony-Alfaro,us USA,DF,Seattle,22,1993,6,1,289,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Brandon Allen\Brandon-Allen,us USA,FW,NY Red Bulls,22,1993,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Jordan Allen\Jordan-Allen,us USA,FWMF,Real Salt Lake,20,1995,23,11,1107,12.3,3,1,3,0,0,1,0,0.24,0.08,0.33,0.24,0.33,Matches
24,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Seattle,30,1985,32,32,2825,31.4,3,3,3,0,0,7,1,0.10,0.10,0.19,0.10,0.19,Matches
25,Kevin Alston\Kevin-Alston,us USA,DF,Orlando City,27,1988,24,21,1992,22.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
26,Jozy Altidore\Jozy-Altidore,us USA,FW,Toronto FC,26,1989,23,16,1488,16.5,10,4,10,0,1,4,0,0.60,0.24,0.85,0.60,0.85,Matches
27,Ever Alvarado\Ever-Alvarado,hn HON,DF,Sporting KC,24,1992,1,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Arturo Alvarez\Arturo-Alvarez,sv SLV,MFFW,Chicago,30,1985,30,24,1915,21.3,5,9,5,0,0,2,0,0.23,0.42,0.66,0.23,0.66,Matches
29,Quincy Amarikwa\Quincy-Amarikwa,us USA,FW,San Jose,28,1987,23,22,1687,18.7,3,2,3,0,0,0,0,0.16,0.11,0.27,0.16,0.27,Matches
30,Mikey Ambrose\Mikey-Ambrose,us USA,DF,Orlando City,22,1993,5,4,405,4.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
31,Oalex Anderson\Oalex-Anderson,vc VIN,FW,Seattle,20,1995,15,2,422,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
32,Nuno André Coelho\Nuno-Andre-Coelho,pt POR,DFMF,Sporting KC,30,1986,22,20,1617,18.0,1,1,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,Matches
33,Vytas Andriuškevičius\Vytas-Andriuskevicius,lt LTU,DF,Portland,25,1990,11,10,916,10.2,1,0,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
34,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Houston,27,1988,30,28,2616,29.1,0,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches
35,Emmanuel Appiah\Emmanuel-Appiah,us USA,MF,Sporting KC,22,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
36,Yair Arboleda\Yair-Arboleda,co COL,MF,Houston,19,1996,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Gbenga Arokoyo\Gbenga-Arokoyo,ng NGA,DF,Portland,23,1992,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,David Arshakyan\David-Arshakyan,am ARM,FW,Chicago,21,1994,9,3,326,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Corey Ashe\Corey-Ashe,us USA,DF,Columbus,29,1986,18,14,1208,13.4,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches
40,Dairon Asprilla\Dairon-Asprilla,co COL,FWMF,Portland,23,1992,9,6,489,5.4,1,0,0,1,1,1,1,0.18,0.00,0.18,0.00,0.00,Matches
41,Jeff Attinella\Jeff-Attinella,us USA,GK,Real Salt Lake,27,1988,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
42,Eric Ayuk\Eric-Ayuk,cm CMR,MF,Philadelphia,18,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Micheal Azira\Micheal-Azira,ug UGA,MF,Colorado,28,1987,31,28,2503,27.8,0,1,0,0,0,9,2,0.00,0.04,0.04,0.00,0.04,Matches
