Pick,Min,Value,$Min_pct,PctValue
1,2293.3529411764707,2454.7213819101516,1.0,1.0
2,2228.5,2264.4349396798298,0.9717213430117732,0.922481449979366
3,2169.4117647058824,2091.1414099355484,0.9459563444224998,0.8518854422119051
4,1938.5333333333333,1933.3232958374194,0.8452834705585622,0.7875937815529174
5,1435.75,1789.5986156705187,0.6260484263985431,0.7290434787665944
6,1762.1764705882354,1658.7088011069397,0.7683843332392849,0.6757218205416896
7,1699.875,1539.5076761742323,0.7412182265883499,0.6271618797634206
8,1061.1875,1430.9514204212608,0.4627231513068458,0.5829384267259529
9,1754.25,1332.0894283909236,0.7649280529407237,0.5426642054807673
10,1934.6666666666667,1242.0559853579646,0.8435974384623934,0.5059865427136393
11,1557.8235294117646,1160.0626864379751,0.6792777079539333,0.4725842594548419
12,941.8125,1085.3915326832348,0.4106705440274963,0.4421648585790347
13,864.7142857142857,1017.3886437092829,0.3770524240680959,0.4144619634663375
14,1067.0,955.4585317949477,0.4652576499858927,0.38923298539545603
15,836.7333333333333,899.0588873152665,0.36485153170715023,0.36625699924268396
16,1312.2666666666667,847.6958298443803,0.5722044100170142,0.34533280888470624
17,306.0,800.9195833432524,0.13342909174853154,0.3262771853643176
18,553.625,758.320537560697,0.2414041860107215,0.30892326239102813
19,898.4,719.5256611581947,0.39174083668915277,0.2931190751262747
20,658.5,684.1952351489398,0.287134172929438,0.27872622945767084
21,181.15384615384616,652.0198780465025,0.07899082731719251,0.26561869010939665
22,350.14285714285717,622.7178366729233,0.15267726604838977,0.253681676976453
23,700.5,596.0325189023893,0.3054479698360992,0.24281066001819893
24,617.2142857142857,571.7302467352201,0.2691318351538425,0.232910443909657
25,576.4,549.5982100262808,0.2513350604047503,0.22389433443505863
26,294.2307692307692,529.4426029490312,0.12829720360435726,0.2156833793239065
27,327.6666666666667,511.0869268765991,0.1428766853908568,0.2082056768817057
28,211.30769230769232,494.37044481854343,0.09213919432710312,0.20139574636118052
29,284.6923076923077,479.1467738791233,0.12413802628489574,0.19519395456044517
30,199.76923076923077,465.2826034115062,0.08710793144065773,0.1895459936269609
31,834.2142857142857,452.6565276430513,0.363753119171592,0.1844024054945147
32,369.46153846153845,441.15798254919787,0.16110103762398115,0.17971814878880835
33,523.5384615384615,430.68627766637815,0.22828516803431517,0.1754522044091366
34,164.85714285714286,421.1497143657318,0.07188476744995584,0.1715672163323124
35,724.0,412.4647828665216,0.31569497524815965,0.1680291644934304
36,168.69230769230768,404.5554309576571,0.0735570633998315,0.1648070668789509
37,219.92857142857142,397.3523980236671,0.09589826645511873,0.16187270822339342
38,270.7857142857143,390.7926085433185,0.11807415658699419,0.15920039293389038
39,400.1666666666667,384.8186197498706,0.17448978719402194,0.15676672007901052
40,759.0,379.378118616236,0.3309564726703773,0.154550378471475
41,169.58333333333334,374.42346376024716,0.073945588700507,0.15253196005034508
42,684.2,369.91126825858504,0.2983404724651807,0.1506937899285079
43,44.8,365.8020197161543,0.019534716700438607,0.14901977161721872
44,587.5,362.05973426392825,0.25617513530151076,0.14749524607236278
45,457.0,358.651641455393,0.19927155205581346,0.1461068633281333
46,357.55555555555554,355.5478973022898,0.15590951969744898,0.14484246559404584
47,651.25,352.7213229367688,0.2839728627491215,0.14369098079159487
48,852.25,350.14716661146974,0.37161746223100006,0.1426423255982727
49,389.7142857142857,347.8028869534124,0.16993210190942767,0.14168731714992766
50,187.57142857142858,345.6679555736941,0.08178916781784404,0.1408175926282563
