Player,Min,year,PlayerName,PlayerID
Caleb Calvert\Caleb-Calvert,171,2016,Caleb Calvert,Caleb-Calvert
Calum Mallace\Calum-Mallace,866,2016,Calum Mallace,Calum-Mallace
Cameron Porter\Cameron-Porter,34,2016,Cameron Porter,Cameron-Porter
Carlos Gruezo\Carlos-Gruezo,2232,2016,Carlos Gruezo,Carlos-Gruezo
Carlos Lizarazo\Carlos-Lizarazo,166,2016,Carlos Lizarazo,Carlos-Lizarazo
Carlos Rivas\Carlos-Rivas,804,2016,Carlos Rivas,Carlos-Rivas
Carlos Ruíz\Carlos-Ruiz,14,2016,Carlos Ruíz,Carlos-Ruiz
Cedrick Mabwati\Cedrick-Mabwati,598,2016,Cedrick Mabwati,Cedrick-Mabwati
Chad Barrett\Chad-Barrett,577,2016,Chad Barrett,Chad-Barrett
Chad Barson\Chad-Barson,329,2016,Chad Barson,Chad-Barson
Chad Marshall\Chad-Marshall,2632,2016,Chad Marshall,Chad-Marshall
Chance Myers\Chance-Myers,560,2016,Chance Myers,Chance-Myers
Charlie Davies\Charlie-Davies,383,2016,Charlie Davies,Charlie-Davies
Chris Duvall\Chris-Duvall,1893,2016,Chris Duvall,Chris-Duvall
Chris Klute\Chris-Klute,707,2016,Chris Klute,Chris-Klute
Chris Pontius\Chris-Pontius,2552,2016,Chris Pontius,Chris-Pontius
Chris Rolfe\Chris-Rolfe,634,2016,Chris Rolfe,Chris-Rolfe
Chris Schuler\Chris-Schuler,271,2016,Chris Schuler,Chris-Schuler
Chris Seitz\Chris-Seitz,2520,2016,Chris Seitz,Chris-Seitz
Chris Tierney\Chris-Tierney,2317,2016,Chris Tierney,Chris-Tierney
Chris Wingert\Chris-Wingert,1505,2016,Chris Wingert,Chris-Wingert
Chris Wondolowski\Chris-Wondolowski,2696,2016,Chris Wondolowski,Chris-Wondolowski
Christian Bolaños\Christian-Bolanos,2114,2016,Christian Bolaños,Christian-Bolanos
Clarence Goodson\Clarence-Goodson,180,2016,Clarence Goodson,Clarence-Goodson
Clint Dempsey\Clint-Dempsey,1427,2016,Clint Dempsey,Clint-Dempsey
Clint Irwin\Clint-Irwin,1689,2016,Clint Irwin,Clint-Irwin
Clément Diop\Clement-Diop,180,2016,Clément Diop,Clement-Diop
Cody Cropper\Cody-Cropper,90,2016,Cody Cropper,Cody-Cropper
Cole Seiler\Cole-Seiler,180,2016,Cole Seiler,Cole-Seiler
Colin Bonner\Colin-Bonner,26,2016,Colin Bonner,Colin-Bonner
Collen Warner\Collen-Warner,1971,2016,Collen Warner,Collen-Warner
Collin Fernandez\Collin-Fernandez,10,2016,Collin Fernandez,Collin-Fernandez
Collin Martin\Collin-Martin,91,2016,Collin Martin,Collin-Martin
Connor Hallisey\Connor-Hallisey,1072,2016,Connor Hallisey,Connor-Hallisey
Connor Lade\Connor-Lade,1382,2016,Connor Lade,Connor-Lade
Conor Casey\Conor-Casey,111,2016,Conor Casey,Conor-Casey
Conor Doyle\Conor-Doyle,26,2016,Conor Doyle,Conor-Doyle
Cordell Cato\Cordell-Cato,1393,2016,Cordell Cato,Cordell-Cato
Corey Ashe\Corey-Ashe,1208,2016,Corey Ashe,Corey-Ashe
Coy Craft\Coy-Craft,19,2016,Coy Craft,Coy-Craft
Cristian Higuita\Cristian-Higuita,1516,2016,Cristian Higuita,Cristian-Higuita
Cristian Maidana\Cristian-Maidana,1688,2016,Cristian Maidana,Cristian-Maidana
Cristian Martínez\Cristian-Martinez,198,2016,Cristian Martínez,Cristian-Martinez
Cristian Roldan\Cristian-Roldan,2633,2016,Cristian Roldan,Cristian-Roldan
